ומקנה;201
ושם;346
אחיו;25
יובל;48
הוא;12
היה;20
אבי;13
כל;50
תפש;780
כנור;276
ועוגב;87
וצלה;131
גם;43
הוא;12
ילדה;49
את;401
תובל;438
קין;160
לטש;339
כל;50
חרש;508
נחשת;758
וברזל;245
ואחות;421
תובל;438
קין;160
נעמה;165
ויאמר;257
למך;90
לנשיו;396
עדה;79
וצלה;131
שמען;460
קולי;146
נשי;360
למך;90
האזנה;68
אמרתי;651
כי;30
איש;311
הרגתי;618
לפצעי;280
וילד;50
לחברתי;650
כי;30
שבעתים;822
יקם;150
קין;160
ולמך;96
שבעים;422
ושבעה;383
וידע;90
אדם;45
עוד;80
את;401
אשתו;707
ותלד;440
בן;52
ותקרא;707
את;401
שמו;346
שת;700
כי;30
שת;700
לי;40
אלהים;86
זרע;277
אחר;209
תחת;808
הבל;37
כי;30
הרגו;214
קין;160
ולשת;736
גם;43
הוא;12
ילד;44
בן;52
ויקרא;317
את;401
שמו;346
אנוש;357
אז;8
הוחל;49
לקרא;331
בשם;342
יהוה;26
זה;12
ספר;340
תולדת;840
אדם;45
ביום;58
ברא;203
אלהים;86
אדם;45
בדמות;452
אלהים;86
עשה;375
אתו;407
זכר;227
ונקבה;163
בראם;243
ויברך;238
אתם;441
ויקרא;317
את;401
שמם;380
אדם;45
ביום;58
הבראם;248
ויחי;34
אדם;45
שלשים;680
ומאת;447
שנה;355
ויולד;56
בדמותו;458
כצלמו;186
ויקרא;317
את;401
שמו;346
שת;700
ויהיו;37
ימי;60
אדם;45
אחרי;219
הולידו;61
את;401
שת;700
שמנה;395
מאת;441
שנה;355
ויולד;56
בנים;102
ובנות;464
ויהיו;37
כל;50
ימי;60
אדם;45
אשר;501
חי;18
תשע;770
מאות;447
שנה;355
ושלשים;686
שנה;355
וימת;456
ויחי;34
שת;700
חמש;348
שנים;400
ומאת;447
שנה;355
ויולד;56
את;401
אנוש;357
ויחי;34
שת;700
אחרי;219
הולידו;61
את;401
אנוש;357
שבע;372
שנים;400
ושמנה;401
מאות;447
שנה;355
ויולד;56
בנים;102
ובנות;464
ויהיו;37
כל;50
ימי;60
שת;700
שתים;750
עשרה;575
שנה;355
ותשע;776
מאות;447
שנה;355
וימת;456
ויחי;34
אנוש;357
תשעים;820
שנה;355
ויולד;56
את;401
קינן;210
ויחי;34
אנוש;357
אחרי;219
הולידו;61
את;401
קינן;210
חמש;348
עשרה;575
שנה;355
ושמנה;401
מאות;447
שנה;355
ויולד;56
בנים;102
ובנות;464
ויהיו;37
כל;50
ימי;60
אנוש;357
חמש;348
שנים;400
ותשע;776
מאות;447
שנה;355
וימת;456
ויחי;34
קינן;210
שבעים;422
שנה;355
ויולד;56
את;401
מהללאל;136
ויחי;34
קינן;210
אחרי;219
הולידו;61
את;401
מהללאל;136
ארבעים;323
שנה;355
ושמנה;401
מאות;447
שנה;355
ויולד;56
בנים;102
ובנות;464
ויהיו;37
כל;50
ימי;60
קינן;210
עשר;570
שנים;400
ותשע;776
מאות;447
שנה;355
וימת;456
ויחי;34
מהללאל;136
חמש;348
שנים;400
וששים;656
שנה;355
ויולד;56
את;401
ירד;214
ויחי;34
מהללאל;136
אחרי;219
הולידו;61
את;401
ירד;214
שלשים;680
שנה;355
ושמנה;401
מאות;447
שנה;355
ויולד;56
בנים;102
ובנות;464
ויהיו;37
כל;50
ימי;60
מהללאל;136
חמש;348
ותשעים;826
שנה;355
ושמנה;401
מאות;447
שנה;355
וימת;456
ויחי;34
ירד;214
שתים;750
וששים;656
שנה;355
ומאת;447
שנה;355
ויולד;56
את;401
